stock_code,company,report_type,pdf_path,pages,pdf_size_bytes,md_path,md_size_bytes,chars,lines,nonempty_lines,headings,image_refs,table_markers,first_nonempty_line,status
600117,西宁特钢,ESG报告,data/raw_pdfs/600117_西宁特钢_2025_ESG报告.pdf,47,8382803,data/mineru_outputs/hybrid_high_all/600117_西宁特钢_2025_ESG报告/hybrid_auto/600117_西宁特钢_2025_ESG报告.md,163932,82922,2784,1635,251,168,36,![](images/338f638326344198cb5f4c9ea0c1bb3f536e20d47f52c06e04b82d30f564ee43.jpg),ok
600199,金种子酒,ESG报告,data/raw_pdfs/600199_金种子酒_2025_ESG报告.pdf,45,6266017,data/mineru_outputs/hybrid_high_all/600199_金种子酒_2025_ESG报告/hybrid_auto/600199_金种子酒_2025_ESG报告.md,177014,87454,2985,1896,274,189,18,## 2025,ok
600259,中稀有色,ESG报告,data/raw_pdfs/600259_中稀有色_2025_ESG报告.pdf,61,31384924,data/mineru_outputs/hybrid_high_all/600259_中稀有色_2025_ESG报告/hybrid_auto/600259_中稀有色_2025_ESG报告.md,235477,124754,3245,2016,333,166,80,# 2025 环境、社会和公司治理(ESG)报告,ok
600261,阳光照明,ESG报告,data/raw_pdfs/600261_阳光照明_2025_ESG报告.pdf,35,17381755,data/mineru_outputs/hybrid_high_all/600261_阳光照明_2025_ESG报告/hybrid_auto/600261_阳光照明_2025_ESG报告.md,100540,44302,1461,872,160,65,9,## VnKOn阳光,ok
600278,东方创业,ESG报告,data/raw_pdfs/600278_东方创业_2025_ESG报告.pdf,39,26796374,data/mineru_outputs/hybrid_high_all/600278_东方创业_2025_ESG报告/hybrid_auto/600278_东方创业_2025_ESG报告.md,155384,77887,2575,1602,228,109,37,## 东方创业 2025 年度环境、社会和公司治理报告,ok
600322,津投城开,ESG报告,data/raw_pdfs/600322_津投城开_2025_ESG报告.pdf,38,15016266,data/mineru_outputs/hybrid_high_all/600322_津投城开_2025_ESG报告/hybrid_auto/600322_津投城开_2025_ESG报告.md,126370,55034,1862,1085,234,83,12,![](images/f10e10e1b8c5969f5b3d2058bfe305e86120b503e1bacc84e49b593d5932b5dd.jpg),ok
600331,宏达股份,ESG报告,data/raw_pdfs/600331_宏达股份_2025_ESG报告.pdf,62,30388423,data/mineru_outputs/hybrid_high_all/600331_宏达股份_2025_ESG报告/hybrid_auto/600331_宏达股份_2025_ESG报告.md,258863,125555,4158,2502,380,230,46,![](images/74ea620da56b805ff700b9f5f604b796753b61dc82eb868842c913deab3e2930.jpg),ok
600396,华电辽能,ESG报告,data/raw_pdfs/600396_华电辽能_2025_ESG报告.pdf,29,28328543,data/mineru_outputs/hybrid_high_all/600396_华电辽能_2025_ESG报告/hybrid_auto/600396_华电辽能_2025_ESG报告.md,71595,35081,1417,781,176,112,4,![](images/1bafe0f73d2e9c7e2816639e54b81846321fb4b44a496bdeb7cd65e201950980.jpg),ok
600400,红豆股份,ESG报告,data/raw_pdfs/600400_红豆股份_2025_ESG报告.pdf,41,7024333,data/mineru_outputs/hybrid_high_all/600400_红豆股份_2025_ESG报告/hybrid_auto/600400_红豆股份_2025_ESG报告.md,133279,65959,2258,1396,217,123,32,## 202.5 年度,ok
600406,国电南瑞,ESG报告,data/raw_pdfs/600406_国电南瑞_2025_ESG报告.pdf,75,22584570,data/mineru_outputs/hybrid_high_all/600406_国电南瑞_2025_ESG报告/hybrid_auto/600406_国电南瑞_2025_ESG报告.md,340613,172073,5643,3853,444,263,36,![](images/4e54d92874bfd5c1095d7e8c255585f5d7182cde4b3e7728dc6fca01866ca89a.jpg),ok
600456,宝钛股份,ESG报告,data/raw_pdfs/600456_宝钛股份_2025_ESG报告.pdf,34,28506549,data/mineru_outputs/hybrid_high_all/600456_宝钛股份_2025_ESG报告/hybrid_auto/600456_宝钛股份_2025_ESG报告.md,112297,56497,2064,1265,231,114,16,## 2025年度,ok
600475,华光环能,ESG报告,data/raw_pdfs/600475_华光环能_2025_ESG报告.pdf,68,18349072,data/mineru_outputs/hybrid_high_all/600475_华光环能_2025_ESG报告/hybrid_auto/600475_华光环能_2025_ESG报告.md,258326,133322,4086,2535,350,309,42,##,ok
600480,凌云股份,ESG报告,data/raw_pdfs/600480_凌云股份_2025_ESG报告.pdf,52,22050779,data/mineru_outputs/hybrid_high_all/600480_凌云股份_2025_ESG报告/hybrid_auto/600480_凌云股份_2025_ESG报告.md,201566,104179,3247,1972,252,240,35,![](images/8896231abef591c967aa205679a8ae21244415dcaf690df23c19b9ff6685d539.jpg),ok
600516,方大炭素,ESG报告,data/raw_pdfs/600516_方大炭素_2025_ESG报告.pdf,45,17083678,data/mineru_outputs/hybrid_high_all/600516_方大炭素_2025_ESG报告/hybrid_auto/600516_方大炭素_2025_ESG报告.md,170576,72052,1501,894,119,89,22,## 2025年度,ok
600525,ST长园,ESG报告,data/raw_pdfs/600525_ST长园_2025_ESG报告.pdf,52,15402244,data/mineru_outputs/hybrid_high_all/600525_ST长园_2025_ESG报告/hybrid_auto/600525_ST长园_2025_ESG报告.md,217840,111837,4174,2795,351,179,40,# 2025年度,ok
600587,新华医疗,ESG报告,data/raw_pdfs/600587_新华医疗_2025_ESG报告.pdf,89,12043604,data/mineru_outputs/hybrid_high_all/600587_新华医疗_2025_ESG报告/hybrid_auto/600587_新华医疗_2025_ESG报告.md,308116,165396,5620,3349,460,443,70,## LEG,ok
600630,龙头股份,ESG报告,data/raw_pdfs/600630_龙头股份_2025_ESG报告.pdf,57,14755313,data/mineru_outputs/hybrid_high_all/600630_龙头股份_2025_ESG报告/hybrid_auto/600630_龙头股份_2025_ESG报告.md,171863,98333,3356,2171,242,169,48,## 2025 龙头股份环境、社会和公司治理报告,ok
600651,飞乐音响,可持续发展报告,data/raw_pdfs/600651_飞乐音响_2025_可持续发展报告.pdf,45,33234700,data/mineru_outputs/hybrid_high_all/600651_飞乐音响_2025_可持续发展报告/hybrid_auto/600651_飞乐音响_2025_可持续发展报告.md,161062,79451,2668,1670,257,132,15,## INESA,ok
600684,珠江股份,ESG暨社会责任报告,data/raw_pdfs/600684_珠江股份_2025_ESG暨社会责任报告.pdf,46,20086786,data/mineru_outputs/hybrid_high_all/600684_珠江股份_2025_ESG暨社会责任报告/hybrid_auto/600684_珠江股份_2025_ESG暨社会责任报告.md,175426,92388,3310,1889,378,366,12,![](images/eaf65a62c1822be0b3d3ed7119ebb1e74854deced50e8ec7c2a27a774ef7779b.jpg),ok
600713,南京医药,ESG报告,data/raw_pdfs/600713_南京医药_2025_ESG报告.pdf,40,17989792,data/mineru_outputs/hybrid_high_all/600713_南京医药_2025_ESG报告/hybrid_auto/600713_南京医药_2025_ESG报告.md,154341,73166,2406,1516,236,104,24,![](images/0f4abba0eeb16ef805255a7d34dac90998effb11cb4fc044a8730da46a37e8e6.jpg),ok
600737,中粮糖业,ESG报告,data/raw_pdfs/600737_中粮糖业_2025_ESG报告.pdf,69,24668361,data/mineru_outputs/hybrid_high_all/600737_中粮糖业_2025_ESG报告/hybrid_auto/600737_中粮糖业_2025_ESG报告.md,270523,126554,4179,2566,496,141,33,![](images/f49d27a94bd2a5b20058523738e32e280f16ffeaf693574891f3e9e62d473edb.jpg),ok
600759,ST洲际,ESG报告,data/raw_pdfs/600759_ST洲际_2025_ESG报告.pdf,43,25629800,data/mineru_outputs/hybrid_high_all/600759_ST洲际_2025_ESG报告/hybrid_auto/600759_ST洲际_2025_ESG报告.md,127777,59519,1663,978,185,104,27,## 致力于成为一家国际化的综合性能源公司,ok
600779,水井坊,ESG报告,data/raw_pdfs/600779_水井坊_2025_ESG报告.pdf,61,20895388,data/mineru_outputs/hybrid_high_all/600779_水井坊_2025_ESG报告/hybrid_auto/600779_水井坊_2025_ESG报告.md,250548,129250,3780,2256,360,246,26,## 2025,ok
600783,鲁信创投,ESG报告,data/raw_pdfs/600783_鲁信创投_2025_ESG报告.pdf,53,7723326,data/mineru_outputs/hybrid_high_all/600783_鲁信创投_2025_ESG报告/hybrid_auto/600783_鲁信创投_2025_ESG报告.md,202576,101809,3052,1815,356,162,46,## LUCION鲁信创投,ok
600805,悦达投资,ESG报告,data/raw_pdfs/600805_悦达投资_2025_ESG报告.pdf,32,3654741,data/mineru_outputs/hybrid_high_all/600805_悦达投资_2025_ESG报告/hybrid_auto/600805_悦达投资_2025_ESG报告.md,91121,48716,1758,1025,190,102,32,## 2025年,ok
600846,同济科技,ESG报告,data/raw_pdfs/600846_同济科技_2025_ESG报告.pdf,40,31535788,data/mineru_outputs/hybrid_high_all/600846_同济科技_2025_ESG报告/hybrid_auto/600846_同济科技_2025_ESG报告.md,162983,79763,2409,1451,242,123,15,## 2025,ok
600850,电科数字,ESG报告,data/raw_pdfs/600850_电科数字_2025_ESG报告.pdf,37,8807624,data/mineru_outputs/hybrid_high_all/600850_电科数字_2025_ESG报告/hybrid_auto/600850_电科数字_2025_ESG报告.md,129325,69081,2411,1542,181,164,25,## 2025年,ok
600855,航天长峰,ESG报告,data/raw_pdfs/600855_航天长峰_2025_ESG报告.pdf,57,22615300,data/mineru_outputs/hybrid_high_all/600855_航天长峰_2025_ESG报告/hybrid_auto/600855_航天长峰_2025_ESG报告.md,195276,98518,2492,1447,222,194,51,# 环境、社会和公司治理(ESG)报告,ok
600874,创业环保,可持续发展报告,data/raw_pdfs/600874_创业环保_2025_可持续发展报告.pdf,52,10276524,data/mineru_outputs/hybrid_high_all/600874_创业环保_2025_可持续发展报告/hybrid_auto/600874_创业环保_2025_可持续发展报告.md,210285,111405,3607,2449,246,221,20,![](images/97fdc702e2dde55b3f61872502a6cf8b54cc65d6fa881c4b340763fb849afae2.jpg),ok
600877,电科芯片,ESG暨社会责任报告,data/raw_pdfs/600877_电科芯片_2025_ESG暨社会责任报告.pdf,21,29057079,data/mineru_outputs/hybrid_high_all/600877_电科芯片_2025_ESG暨社会责任报告/hybrid_auto/600877_电科芯片_2025_ESG暨社会责任报告.md,62340,31124,929,562,78,80,9,## 2025 年度ESG暨社会责任报告中电科芯片技术股份有限公司,ok
600884,杉杉股份,ESG报告,data/raw_pdfs/600884_杉杉股份_2025_ESG报告.pdf,64,25457573,data/mineru_outputs/hybrid_high_all/600884_杉杉股份_2025_ESG报告/hybrid_auto/600884_杉杉股份_2025_ESG报告.md,249624,128413,4193,2614,348,194,43,![](images/efe3fa80ed7dc059674f51fe94bb8e434f1c3b04a8ed7c26d9b888129c4ada48.jpg),ok
600919,江苏银行,可持续发展报告,data/raw_pdfs/600919_江苏银行_2025_可持续发展报告.pdf,65,5660893,data/mineru_outputs/hybrid_high_all/600919_江苏银行_2025_可持续发展报告/hybrid_auto/600919_江苏银行_2025_可持续发展报告.md,265466,126695,3372,1907,375,159,47,"## 20252025 江苏银行股份有限公江苏银行股份有限公司 可持续发展(ESG)报可持续发展(ESG)报告 Sustainability (Environmental, Social and Governance) ReSustainability (Environmental, Social and Governance) R port",ok
600963,岳阳林纸,ESG报告,data/raw_pdfs/600963_岳阳林纸_2025_ESG报告.pdf,60,17565280,data/mineru_outputs/hybrid_high_all/600963_岳阳林纸_2025_ESG报告/hybrid_auto/600963_岳阳林纸_2025_ESG报告.md,191786,94002,2706,1551,276,166,22,![](images/2ccb818fa6c3e94d3e24372e3c88dc8ed9c80bdf9709ad2a6141663172df0939.jpg),ok
600996,贵广网络,ESG报告,data/raw_pdfs/600996_贵广网络_2025_ESG报告.pdf,31,8051001,data/mineru_outputs/hybrid_high_all/600996_贵广网络_2025_ESG报告/hybrid_auto/600996_贵广网络_2025_ESG报告.md,47162,21652,732,430,72,40,4,## 2025年度ESG 环境、社会及治理报告,ok
601106,中国一重,ESG报告,data/raw_pdfs/601106_中国一重_2025_ESG报告.pdf,61,21073235,data/mineru_outputs/hybrid_high_all/601106_中国一重_2025_ESG报告/hybrid_auto/601106_中国一重_2025_ESG报告.md,218576,109281,2858,1699,327,139,42,## 2025,ok
601118,海南橡胶,ESG报告,data/raw_pdfs/601118_海南橡胶_2025_ESG报告.pdf,57,18879229,data/mineru_outputs/hybrid_high_all/601118_海南橡胶_2025_ESG报告/hybrid_auto/601118_海南橡胶_2025_ESG报告.md,191977,97636,2396,1378,312,138,26,![](images/6d1df6faeb1b1de8500ae372bbbe5c8571e0ab69bac443513a95c9cbb4215d34.jpg),ok
601298,青岛港,ESG报告,data/raw_pdfs/601298_青岛港_2025_ESG报告.pdf,57,8693208,data/mineru_outputs/hybrid_high_all/601298_青岛港_2025_ESG报告/hybrid_auto/601298_青岛港_2025_ESG报告.md,188978,95699,2788,1704,267,153,30,（于中华人民共和国成立的股份有限公司）,ok
