id,stock_code,company,title,status,error
1225237380,601136,首创证券,首创证券：2025年度环境、社会和公司治理（ESG）报告摘要,skipped_summary,
1225235446,300949,奥雅股份,奥雅股份：奥雅股份2025年度环境、社会及公司治理（ESG）报告,downloaded,
1225239453,603660,苏州科达,苏州科达：2025年度环境、社会和公司治理(ESG)报告摘要,skipped_summary,
1225244932,603369,今世缘,今世缘：江苏今世缘酒业股份有限公司2025年度可持续发展（ESG）报告,downloaded,
1225244793,603777,来伊份,来伊份：来伊份2025年ESG报告,downloaded,
1225234586,688360,德马科技,德马科技：德马科技2025年度ESG报告,downloaded,
1225249401,605599,菜百股份,菜百股份：北京菜市口百货股份有限公司2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225226792,601555,东吴证券,东吴证券：东吴证券股份有限公司2025年度可持续发展暨ESG报告,downloaded,
1225226963,603337,杰克科技,杰克科技：2025年度环境、社会和公司治理（ESG）报告（英文版）,skipped_english,
1225227310,603337,杰克科技,杰克科技：2025年度环境、社会和公司治理（ESG）报告,skipped_duplicate_normalized_filename,
1225227437,603596,伯特利,伯特利：伯特利2025年环境、社会及公司治理（ESG）报告摘要,skipped_summary,
1225235477,300031,宝通科技,宝通科技：2025环境、社会及治理（ESG）报告,downloaded,
1225237056,301185,鸥玛软件,鸥玛软件：2025年度环境、社会及公司治理（ESG)报告,downloaded,
1225237536,300597,吉大通信,吉大通信：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225242647,301215,中汽股份,中汽股份：2025年度环境、社会及公司治理（ESG）报告,downloaded,
1225225562,301073,君亭酒店,君亭酒店：2025年度环境、社会及公司治理(ESG)报告,downloaded,
1225245653,002958,青农商行,青农商行：2025年度可持续发展（ESG）报告,downloaded,
1225245747,002973,侨银股份,侨银股份：2025年度环境、社会及公司治理（ESG）报告（中文版）,skipped_duplicate_normalized_filename,
1225224106,600630,龙头股份,龙头股份：龙头股份2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225227499,000503,国新健康,国新健康：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225226547,002266,浙富控股,浙富控股：浙富控股2025年度环境、社会及公司治理（ESG）报告,downloaded,
1225235789,300834,星辉环材,星辉环材：2025年度环境、社会及治理（ESG）报告,downloaded,
1225237383,601136,首创证券,首创证券：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225244301,002055,ST得润,ST得润：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225249976,688226,威腾电气,威腾电气：威腾电气集团股份有限公司2025年度环境、社会及公司治理(ESG)报告摘要,skipped_summary,
1225225945,002442,龙星科技,龙星科技：龙星科技2025年度ESG报告,downloaded,
1225227403,688779,五矿新能,五矿新能：五矿新能源材料（湖南）股份有限公司2025年环境、社会和公司治理（ESG）报告,skipped_duplicate_normalized_filename,
1225227467,601599,浙文影业,浙文影业：2025年度环境、社会和公司治理（ESG）报告摘要,skipped_summary,
1225225981,002145,钛能化学,钛能化学：2025年环境、社会和公司治理（ESG）报告,downloaded,
1225232089,000923,河钢资源,河钢资源：2025河钢资源股份有限公司环境、社会及治理(ESG)报告,downloaded,
1225234077,688279,峰岹科技,峰岹科技：2025年度环境、社会和管治（ESG）报告,downloaded,
1225233757,688271,联影医疗,联影医疗：联影医疗2025年度环境、社会与治理（ESG）报告,downloaded,
1225237971,300428,立中集团,立中集团：立中四通轻合金集团股份有限公司2025年度可持续发展报告（ESG）-英文版,skipped_duplicate_normalized_filename,
1225247488,600919,江苏银行,江苏银行：江苏银行2025年度可持续发展(ESG)报告,downloaded,
1225246705,688147,微导纳米,微导纳米：江苏微导纳米科技股份有限公司2025年度环境、社会及公司治理（ESG）报告,downloaded,
1225246596,688613,奥精医疗,奥精医疗：奥精医疗：2025年环境、社会和公司治理(ESG)报告摘要,skipped_summary,
1225243172,002011,盾安环境,盾安环境：2025年度环境、社会及公司治理（ESG）报告（英文版）,skipped_duplicate_normalized_filename,
1225247152,300962,中金辐照,中金辐照：中金辐照股份有限公司2025年ESG报告,downloaded,
1225250943,605199,ST葫芦娃,ST葫芦娃：海南葫芦娃药业集团股份有限公司2025年度环境、社会和公司治理(ESG)报告,downloaded,
1225230649,300468,四方精创,四方精创：2025年度环境、社会和公司治理（ESG）报告,downloaded,
1225232950,688503,聚和材料,聚和材料：2025年度环境、社会及治理（ESG）报告摘要,skipped_summary,
1225230957,000810,创维数字,创维数字：2025年环境、社会及治理（ESG）报告,downloaded,
1225230984,002111,威海广泰,威海广泰：2025年度环境、社会及公司治理（ESG）报告,downloaded,
1225236896,002887,绿茵生态,绿茵生态：2025年度环境、社会及公司治理（ESG）报告,downloaded,
1225237725,000998,隆平高科,隆平高科：2025年环境、社会及治理（ESG）报告,downloaded,
